|name        |t90     |t90_error|fluence   |fluence_error|flux_1024  |flux_1024_error|flux_64     |flux_64_error|
|GRB090528516|  79.041|    1.088|4.3518e-05|   8.8506e-08|    12.7626|         0.2141|     19.3246|       0.9358|
|GRB090529310|   3.072|    0.362|8.3440e-07|   3.7073e-08|     3.2815|         0.1646|      5.7140|       0.7525|
|GRB090529564|   9.853|    0.179|8.6899e-06|   3.3272e-08|    22.5564|         0.2734|     30.7129|       1.1863|
|GRB090530760| 157.699|    2.862|6.1037e-05|   1.0546e-07|    11.2105|         0.3325|     13.4944|       1.5195|
|GRB090531775|   0.768|    0.231|3.1809e-07|   1.8367e-08|     3.4026|         0.2481|      5.9233|       1.1453|
|GRB090602564|  20.736|    7.209|2.7923e-06|   5.6870e-08|     2.5067|         0.3154|      5.0746|       1.4722|
|GRB090606471|   8.064|    1.262|9.4591e-07|   8.7350e-08|     1.6031|         0.2195|      5.7937|       1.7951|
|GRB090608052|  21.504|    2.290|1.2448e-06|   1.7538e-08|     2.2456|         0.1707|      4.3230|       0.8153|
|GRB090610648|   6.144|    8.136|1.3498e-06|   5.6400e-08|     2.9487|         0.1481|      4.5955|       0.7435|
|GRB090610723| 146.434|    4.419|3.7413e-06|   9.2493e-08|     2.1929|         0.2036|      3.9137|       1.1365|
|GRB090610883|   7.424|    1.639|7.6429e-07|   2.2375e-08|     2.0849|         0.2734|      4.3425|       1.3207|
|GRB090612619|  37.120|    1.717|6.6571e-06|   4.3416e-08|     6.7781|         0.2359|      8.7490|       1.0141|
|GRB090616157|   1.152|    1.168|4.1255e-07|   2.2580e-08|     2.6214|         0.1480|      4.0621|       0.7209|
